DTE;BARRIS;BARCELONA;ELRAVAL;ELBARRIGOTIC;LABARCELONETA;SANTPERESANTACATERINAILARIBERA;ELFORTPIENC;LASAGRADAFAMILIA;LADRETADELEIXAMPLE;LANTIGAESQUERRADELEIXAMPLE;LANOVAESQUERRADELEIXAMPLE;SANTANTONI;ELPOBLESECPARCMONTJUIC;LAMARINADELPRATVERMELLZONAFRANCA;LAMARINADEPORT;LAFONTDELAGUATLLA;HOSTAFRANCS;LABORDETA;SANTSBADAL;SANTS;LESCORTS;LAMATERNITATISANTRAMON;PEDRALBES;VALLVIDRERAELTIBIDABOILESPLANES;SARRIA;LESTRESTORRES;SANTGERVASILABONANOVA;SANTGERVASIGALVANY;ELPUTXETIELFARRO;VALLCARCAIELSPENITENTS;ELCOLL;LASALUT;LAVILADEGRACIA;ELCAMPDENGRASSOTIGRACIANOVA;ELBAIXGUINARDO;CANBARO;ELGUINARDO;LAFONTDENFARGUES;ELCARMEL;LATEIXONERA;SANTGENISDELSAGUDELLS;MONTBAU;LAVALLDHEBRON;LACLOTA;HORTA;VILAPICINAILATORRELLOBETA;PORTA;ELTURODELAPEIRA;CANPEGUERA;LAGUINEUETA;CANYELLES;LESROQUETES;VERDUN;LAPROSPERITAT;LATRINITATNOVA;TORREBARO;CIUTATMERIDIANA;VALLBONA;LATRINITATVELLA;BARODEVIVER;ELBONPASTOR;SANTANDREU;LASAGRERA;ELCONGRESIELSINDIANS;NAVAS;ELCAMPDELARPADELCLOT;ELCLOT;ELPARCILALLACUNADELPOBLENOU;LAVILAOLIMPICADELPOBLENOU;ELPOBLENOU;DIAGONALMARIELFRONTMARITIMDELPOBLENOU;ELBESOSIELMARESME;PROVENCALSDELPOBLENOU;SANTMARTIDEPROVENCALS;LAVERNEDAILAPAU;NOCONSTA
4;21. Pedralbes;598;4;2;1;5;6;4;13;18;13;4;4;1;0;4;4;0;7;12;46;32;120;9;81;41;21;63;12;2;5;0;8;1;1;4;1;0;0;0;1;0;0;0;1;0;4;0;1;0;0;1;0;4;0;0;0;0;1;0;0;7;1;0;5;2;1;0;4;6;6;0;2;2;0;0
5;22. Vallvidrera, el Tibidabo i les Planes;293;9;1;3;5;7;4;4;2;5;3;3;0;5;0;0;2;3;7;4;4;3;80;21;0;16;14;21;4;1;3;18;6;1;5;0;0;3;0;0;0;0;0;6;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;1;1;2;3;0;1;1;1;2;0
5;23. Sarrià;1275;18;8;3;9;13;20;45;30;17;17;5;1;4;2;1;6;6;8;47;20;56;11;463;103;69;84;44;13;7;10;23;14;12;5;6;6;2;1;1;0;0;0;5;7;0;1;0;1;0;0;1;4;1;1;1;0;1;0;1;6;0;1;1;17;3;1;1;2;3;3;0;2;1;0
5;24. les Tres Torres;934;15;7;3;8;5;5;32;13;28;14;11;0;14;0;2;0;6;10;44;15;25;0;116;179;77;140;33;10;3;0;27;12;13;4;3;5;1;0;0;0;1;0;3;9;1;0;0;1;0;0;0;2;0;0;0;0;0;2;0;7;1;0;0;4;4;3;0;2;6;2;4;1;0;1
5;25. Sant Gervasi - la Bonanova;1374;16;5;5;12;12;26;23;44;33;18;7;0;11;1;1;3;1;10;26;18;27;12;49;87;360;184;120;19;6;6;49;21;7;1;8;1;8;12;2;2;2;0;6;0;7;1;0;2;3;5;1;13;1;0;8;0;1;0;3;5;2;3;4;5;7;11;4;1;6;3;4;11;2;0
5;26. Sant Gervasi - Galvany;2462;24;20;6;20;21;56;122;167;85;45;20;1;5;3;6;1;6;20;93;23;45;12;87;79;157;779;92;30;5;19;120;46;29;9;30;2;3;3;1;0;0;0;8;7;4;0;0;6;2;4;1;6;0;3;0;0;2;0;1;19;9;1;11;18;10;11;14;5;14;4;5;2;3;0
5;27. el Putxet i el Farró;1725;23;15;2;20;19;39;37;48;44;23;20;0;9;2;6;5;11;9;34;14;12;1;47;25;133;136;462;67;13;27;172;37;18;6;16;0;14;5;7;1;7;0;7;9;3;1;0;1;0;0;1;5;1;1;1;0;0;3;0;10;7;5;8;16;4;15;1;10;7;4;11;6;2;0
6;28. Vallcarca i els Penitents;886;18;10;8;10;10;16;17;24;18;10;10;0;10;3;4;1;10;11;12;8;4;11;8;10;35;20;80;179;26;30;68;15;4;7;12;5;22;16;19;6;5;0;13;3;3;2;0;3;1;6;1;4;1;1;3;0;1;0;1;2;5;2;3;9;5;3;2;3;0;1;4;5;7;0
6;29. el Coll;472;5;4;2;7;6;4;5;10;6;3;2;0;1;2;6;0;3;7;4;3;0;0;3;3;8;12;21;19;117;10;39;8;7;3;6;6;42;9;14;1;1;0;5;2;1;8;0;5;0;4;1;2;3;0;0;0;0;0;1;2;1;1;1;5;4;1;0;5;1;2;3;1;4;0
6;30. la Salut;743;19;5;2;11;8;22;8;8;22;10;13;1;7;1;4;15;1;9;3;1;10;3;12;4;9;18;30;33;11;102;149;54;29;7;7;0;7;7;6;2;0;0;1;2;4;5;0;1;0;9;7;2;0;0;0;0;0;0;4;3;0;1;1;9;11;1;1;4;1;1;2;3;0;0
